Unnamed: 0,Name,Platform,Year_of_Release,Genre,NA_players,EU_players,RU_players,Other_players,Critic_Score,User_Score,Rating
7735,Iron Chef America: Supreme Cuisine,DS,2008.0,Simulation,0.18,0.0,0.0,0.01,,tbd,E10+
7736,Test Drive Unlimited 2,PC,,Racing,0.05,0.11,0.0,0.03,72.0,5.7,T
7737,UFC Personal Trainer: The Ultimate Fitness System,PS3,2011.0,Sports,0.08,0.08,0.0,0.03,65.0,2.4,E
7738,Ice Age 2: The Meltdown,GC,2006.0,Platform,0.15,0.04,0.0,0.01,67.0,tbd,E10+
7739,Conan,X360,2007.0,Action,0.16,0.02,0.0,0.01,69.0,7.3,M
7740,Steins;Gate,PSP,2011.0,Adventure,0.0,0.0,0.19,0.0,,,
7741,Dinotopia: The Timestone Pirates,GBA,2002.0,Action,0.14,0.05,0.0,0.0,64.0,tbd,E
7742,Power Pro Kun Pocket 12,DS,2009.0,Sports,0.0,0.0,0.19,0.0,,,
7743,Petz Pony: Beauty Pageant,DS,2009.0,Simulation,0.18,0.0,0.0,0.01,,tbd,E
7744,Rune Factory: Tides of Destiny,Wii,2011.0,Role-Playing,0.13,0.0,0.06,0.01,,7,E10+
7745,J-League Jikkyou Winning Eleven 3,PS,1997.0,Sports,0.0,0.0,0.18,0.01,,,
7746,No More Heroes: Heroes' Paradise,PS3,2010.0,Action,0.1,0.04,0.04,0.02,72.0,7.3,M
7747,Jissen Pachi-Slot Hisshouhou,SNES,1993.0,Misc,0.0,0.0,0.19,0.0,,,
7748,Shin Megami Tensei IV: Final,3DS,2016.0,Role-Playing,0.05,0.0,0.14,0.01,,,
7749,Aliens vs Predator,PC,2010.0,Shooter,0.0,0.17,0.0,0.02,68.0,7.4,M
7750,Captain America: Super Soldier,PS3,2011.0,Action,0.1,0.06,0.0,0.03,61.0,7.3,T
7751,Pac-Man & Galaga Dimensions,3DS,2011.0,Misc,0.1,0.04,0.04,0.01,,,
7752,Manhunt,XB,2004.0,Action,0.14,0.04,0.0,0.01,74.0,7.9,M
7753,NCAA Final Four 2003,PS2,2002.0,Sports,0.09,0.07,0.0,0.02,57.0,6,E
7754,Dynasty Warriors: Gundam 2,X360,2008.0,Action,0.07,0.03,0.08,0.01,49.0,7,T
7755,Dream Salon,DS,2009.0,Misc,0.18,0.0,0.0,0.01,,tbd,E
7756,Bound By Flame,PS4,2014.0,Role-Playing,0.08,0.09,0.0,0.03,53.0,5.9,M
7757,We Wish You A Merry Christmas,Wii,2009.0,Action,0.13,0.04,0.0,0.02,,tbd,E
7758,Spectrobes: Origins,Wii,2009.0,Role-Playing,0.16,0.02,0.0,0.01,71.0,8.4,E10+
7759,Rock Band Country Track Pack,PS3,2009.0,Misc,0.18,0.0,0.0,0.02,,tbd,E10+
7760,Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,3DS,2015.0,Action,0.0,0.0,0.19,0.0,,,
7761,J-League Excite Stage '96,SNES,1996.0,Sports,0.0,0.0,0.19,0.0,,,
7762,Just Dance: Greatest Hits,Wii,2012.0,Misc,0.14,0.04,0.0,0.01,,tbd,E10+
7763,New Love Plus,3DS,2012.0,Simulation,0.0,0.0,0.19,0.0,,,
7764,DanceMasters,X360,2010.0,Misc,0.15,0.02,0.02,0.01,63.0,5.9,E10+
7765,Breath of Fire: Dragon Quarter,PS2,2002.0,Role-Playing,0.09,0.07,0.0,0.02,78.0,6.9,T
7766,Jikkyou J-League Perfect Striker,N64,1996.0,Sports,0.0,0.0,0.19,0.0,,,
7767,Super Robot Taisen: Scramble Commander,PS2,2003.0,Strategy,0.0,0.0,0.19,0.0,,,
7768,Shiren the Wanderer,Wii,2008.0,Role-Playing,0.08,0.0,0.11,0.01,71.0,7.6,T
7769,Re-Volt,PS,1998.0,Racing,0.11,0.07,0.0,0.01,,,
7770,Kan Colle Kai,PSV,2016.0,Action,0.0,0.0,0.19,0.0,,,
7771,Descent,PS,1996.0,Shooter,0.11,0.07,0.0,0.01,,,
7772,LEGO Marvel's Avengers,3DS,2016.0,Action,0.07,0.09,0.01,0.01,60.0,7.1,E10+
7773,Just Dance 2016,PS3,2015.0,Misc,0.1,0.06,0.0,0.03,,4.2,E10+
7774,Spore Hero Arena,DS,2009.0,Simulation,0.18,0.0,0.0,0.01,49.0,2.6,E
7775,Disney's Magical Mirror Starring Mickey Mouse,GC,2002.0,Adventure,0.15,0.04,0.0,0.01,50.0,8.9,E
7776,Enchanted Arms,X360,2006.0,Role-Playing,0.16,0.02,0.0,0.02,69.0,6.9,T
7777,Are You Smarter Than a 5th Grader? Back to School,Wii,2010.0,Misc,0.18,0.0,0.0,0.01,,tbd,E
7778,Conflict: Denied Ops,X360,2008.0,Shooter,0.08,0.09,0.0,0.02,52.0,4.9,M
7779,Mafia III,PC,2016.0,Action,0.08,0.1,0.0,0.02,63.0,3.2,M
7780,The Rise of the Argonauts,PS3,2008.0,Role-Playing,0.05,0.11,0.0,0.03,,,
7781,Barbie Fashion Show: An Eye for Style,DS,2008.0,Misc,0.18,0.0,0.0,0.01,,,
7782,IHRA Professional Drag Racing 2005,PS2,2004.0,Racing,0.09,0.07,0.0,0.02,,tbd,E
7783,Mace Griffin: Bounty Hunter,PS2,2003.0,Shooter,0.09,0.07,0.0,0.02,62.0,8.3,M
7784,101-in-1 Explosive Megamix,DS,2008.0,Puzzle,0.05,0.12,0.0,0.02,46.0,tbd,E
7785,Legacy of Kain: Defiance,XB,2003.0,Action,0.14,0.04,0.0,0.01,74.0,7.9,M
7786,Final Fantasy XI,X360,2006.0,Role-Playing,0.17,0.01,0.0,0.01,66.0,6.5,T
7787,Scene It? Twilight,DS,2010.0,Misc,0.11,0.06,0.0,0.02,,tbd,T
7788,Trivial Pursuit unhinged,PS2,2004.0,Misc,0.09,0.07,0.0,0.02,51.0,tbd,T
7789,Tales of the World: Narikiri Dungeon 2,GBA,2002.0,Role-Playing,0.0,0.0,0.19,0.0,,,
7790,Peter Jackson's King Kong: The Official Game of the Movie,PSP,2005.0,Action,0.16,0.01,0.0,0.02,56.0,6.4,T
7791,Fighter Within,XOne,2013.0,Fighting,0.11,0.07,0.0,0.02,23.0,3,T
7792,Aliens versus Predator: Extinction,PS2,2003.0,Strategy,0.09,0.07,0.0,0.02,66.0,8.4,T
7793,Shrek: Forever After,PS3,2010.0,Platform,0.16,0.02,0.0,0.02,57.0,4.5,E10+
7794,Silent Scope 2: Dark Silhouette,PS2,2001.0,Shooter,0.09,0.07,0.0,0.02,64.0,tbd,M
7795,The Spiderwick Chronicles,Wii,2008.0,Action,0.17,0.0,0.0,0.01,62.0,tbd,E10+
7796,Dave Mirra Freestyle BMX 2,GBA,2001.0,Sports,0.14,0.05,0.0,0.0,85.0,tbd,E
7797,X-Men Origins: Wolverine,PSP,2009.0,Action,0.13,0.03,0.0,0.03,60.0,7.5,T
7798,Jikkyou Powerful Pro Yakyuu '96 Kaimakuban,SNES,1996.0,Sports,0.0,0.0,0.19,0.0,,,
7799,Tokimeki Memorial Girl's Side 3rd Story,DS,2010.0,Adventure,0.0,0.0,0.19,0.0,,,
7800,NHL Hitz Pro,PS2,2003.0,Sports,0.09,0.07,0.0,0.02,79.0,8.9,E
7801,Allied General,PS,1996.0,Strategy,0.11,0.07,0.0,0.01,,,
7802,Marvel Super Hero Squad: Comic Combat,PS3,2011.0,Action,0.11,0.05,0.0,0.03,,tbd,E10+
7803,Kamen Rider: Battride War,PS3,2013.0,Action,0.0,0.0,0.19,0.0,,,
7804,Fire ProWrestling G,PS,1999.0,Fighting,0.0,0.0,0.18,0.01,,,
7805,Space Invaders Extreme 2,DS,2009.0,Shooter,0.17,0.01,0.0,0.01,82.0,7.1,E
7806,Need for Speed: The Run,3DS,2011.0,Action,0.09,0.09,0.0,0.02,65.0,6,E10+
7807,Supreme Commander 2,PC,2010.0,Strategy,0.0,0.15,0.0,0.04,77.0,6.2,E10+
7808,Avatar: The Last Airbender - Into the Inferno,Wii,2008.0,Adventure,0.17,0.01,0.0,0.01,,,
7809,Quantum Theory,PS3,2010.0,Shooter,0.05,0.09,0.02,0.03,43.0,5.3,M
7810,Dawn of Discovery,Wii,2009.0,Simulation,0.12,0.06,0.0,0.02,81.0,8.5,E10+
7811,Guitar Hero Live,WiiU,2015.0,Misc,0.12,0.05,0.0,0.02,84.0,6.1,T
7812,GunGriffon,SAT,1995.0,Simulation,0.0,0.0,0.19,0.0,,,
7813,SingStar Pop Vol.2,PS2,2008.0,Misc,0.09,0.07,0.0,0.02,,,
7814,SNK Arcade Classics Vol. 1,PS2,2008.0,Misc,0.09,0.07,0.0,0.02,69.0,tbd,T
7815,Darkstalkers 3,PS,1998.0,Fighting,0.11,0.07,0.0,0.01,,,
7816,International Cricket 2010,PS3,2010.0,Sports,0.0,0.15,0.0,0.04,,,
7817,Frequency,PS2,2001.0,Misc,0.09,0.07,0.0,0.02,83.0,9,E
7818,Inazuma Eleven Strikers 2012 Xtreme,Wii,2011.0,Role-Playing,0.0,0.0,0.19,0.0,,,
7819,The Polar Express,GBA,2004.0,Adventure,0.14,0.05,0.0,0.0,,tbd,E
7820,Dynasty Warriors 8: Empires,PS4,2014.0,Action,0.06,0.07,0.03,0.03,63.0,7.5,T
7821,2002 FIFA World Cup,XB,2002.0,Sports,0.14,0.04,0.0,0.01,79.0,9,E
7822,SpongeBob SquigglePants 3D,3DS,2011.0,Misc,0.13,0.05,0.0,0.02,64.0,6,E
7823,Jampack: Summer 2003 (RP-T),PS2,2003.0,Misc,0.09,0.07,0.0,0.02,,,
7824,Frogger's Adventures 2: The Lost Wand,GBA,2002.0,Adventure,0.14,0.05,0.0,0.0,75.0,tbd,E
7825,Sudeki,XB,2004.0,Role-Playing,0.14,0.04,0.0,0.01,72.0,8.4,M
7826,Majin and the Forsaken Kingdom,X360,2010.0,Adventure,0.14,0.03,0.0,0.01,74.0,8.1,T
7827,Silent Hill HD Collection,X360,2012.0,Action,0.11,0.06,0.01,0.02,69.0,5.6,M
7828,Arc Rise Fantasia,Wii,2009.0,Role-Playing,0.12,0.0,0.06,0.01,64.0,7.8,T
7829,"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PSP,2009.0,Adventure,0.0,0.0,0.19,0.0,,,
7830,Hot Wheels: Track Attack,Wii,2010.0,Racing,0.14,0.03,0.0,0.01,,tbd,E
7831,Quake,N64,1998.0,Shooter,0.15,0.04,0.0,0.0,,,
7832,SpongeBob's Surf & Skate Roadtrip,X360,2011.0,Action,0.15,0.03,0.0,0.01,,,
7833,Sesame Street: Elmo's Number Journey,N64,1999.0,Misc,0.15,0.04,0.0,0.0,,,
7834,Hexen,N64,1996.0,Shooter,0.15,0.04,0.0,0.0,,,
7835,Mace: The Dark Age,N64,1997.0,Fighting,0.15,0.04,0.0,0.0,,,
7836,Puyo Puyo Sun 64,N64,1997.0,Puzzle,0.0,0.0,0.16,0.03,,,
7837,AeroFighters Assault,N64,1997.0,Action,0.15,0.04,0.0,0.0,,,
7838,Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),N64,1996.0,Sports,0.0,0.0,0.19,0.0,,,
7839,South Park: The Stick of Truth,PC,2014.0,Role-Playing,0.07,0.1,0.0,0.01,85.0,8.6,M
7840,Tottadoo! Yoiko no Mujintou Seikatsu,DS,2008.0,Adventure,0.0,0.0,0.19,0.0,,,
7841,Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,2004.0,Action,0.15,0.04,0.0,0.01,49.0,4.6,T
7842,Barbie Horse Adventures: Riding Camp,PS2,2008.0,Sports,0.09,0.07,0.0,0.02,,tbd,E
7843,MLB 12: The Show,PSV,2012.0,Sports,0.17,0.0,0.0,0.02,76.0,7.8,E
7844,God Eater Resurrection,PSV,2015.0,Action,0.0,0.0,0.19,0.0,,8.8,T
7845,SSX Tricky,GBA,2002.0,Sports,0.14,0.05,0.0,0.0,66.0,tbd,E
7846,Kenka Banchou 4: Ichinen Sensou,PSP,2010.0,Action,0.0,0.0,0.19,0.0,,,
7847,Warhammer: Shadow of the Horned Rat,PS,1996.0,Strategy,0.11,0.07,0.0,0.01,,,
7848,NBA 2K11,PC,2010.0,Action,0.18,0.0,0.0,0.01,82.0,8.6,E
7849,Pet Zombies,3DS,,Simulation,0.18,0.0,0.0,0.01,,tbd,T
7850,Pro Yakyuu Team o Tsukurou!,DS,2008.0,Sports,0.0,0.0,0.19,0.0,,,
7851,WWE All Stars,Wii,2011.0,Fighting,0.1,0.07,0.0,0.02,68.0,7,T
7852,Naruto: Ninja Destiny,DS,2006.0,Fighting,0.02,0.01,0.16,0.0,61.0,4.4,T
7853,FaceBreaker,X360,2008.0,Fighting,0.15,0.02,0.0,0.02,54.0,6.3,T
7854,ESPN International Track & Field,PS2,2000.0,Sports,0.09,0.07,0.0,0.02,,,
7855,Spider-Man: Shattered Dimensions,DS,2010.0,Action,0.17,0.01,0.0,0.01,73.0,7,E10+
7856,Lunar Legend,GBA,2002.0,Role-Playing,0.14,0.05,0.0,0.0,79.0,7.8,E
7857,Conflict: Global Terror,PS2,2005.0,Shooter,0.09,0.07,0.0,0.02,62.0,8.5,M
7858,Dante's Inferno,PSP,2010.0,Action,0.12,0.03,0.01,0.02,70.0,8.1,M
7859,Mystery Tales of Time Travel,DS,2010.0,Puzzle,0.01,0.15,0.0,0.02,,,
7860,Injustice: Gods Among Us,WiiU,2013.0,Fighting,0.09,0.08,0.0,0.02,82.0,7.9,T
7861,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion,PS2,2006.0,Misc,0.0,0.0,0.19,0.0,,,
7862,NASCAR Unleashed,3DS,2011.0,Racing,0.18,0.0,0.0,0.01,,tbd,E
7863,Tomb Raider: Underworld,DS,2008.0,Action,0.15,0.02,0.0,0.01,70.0,8.4,T
7864,Death Jr.,PSP,2005.0,Platform,0.17,0.0,0.0,0.01,61.0,7.3,T
7865,Hulk,GC,2003.0,Action,0.15,0.04,0.0,0.01,71.0,7.4,T
7866,Boogie,PS2,2007.0,Misc,0.09,0.07,0.0,0.02,52.0,tbd,E10+
7867,Arcade Shooting Gallery,Wii,2008.0,Shooter,0.18,0.0,0.0,0.01,,tbd,E10+
7868,Phantasy Star Universe,PS2,2006.0,Role-Playing,0.0,0.0,0.19,0.0,68.0,8.5,T
7869,Gungrave,PS2,2002.0,Shooter,0.09,0.07,0.0,0.02,65.0,8.6,M
7870,Schlag den Raab,Wii,2010.0,Misc,0.0,0.16,0.0,0.02,,,
7871,Transworld Surf,PS2,2002.0,Sports,0.09,0.07,0.0,0.02,76.0,8.5,T
7872,Tenchu: Fatal Shadows,PS2,2004.0,Action,0.09,0.07,0.0,0.02,58.0,8,M
7873,50 Cent: Blood on the Sand,PS3,2009.0,Shooter,0.1,0.06,0.01,0.03,72.0,7.2,M
7874,Metro: Last Light,PC,2013.0,Action,0.06,0.11,0.0,0.02,82.0,8.6,M
7875,Evolve,PC,2015.0,Shooter,0.08,0.1,0.0,0.02,77.0,4.3,M
7876,FIFA 14,PSP,2013.0,Sports,0.0,0.15,0.0,0.04,,3.4,E
7877,Resident Evil: Revelations,WiiU,2013.0,Action,0.07,0.07,0.03,0.01,80.0,7.5,M
7878,Namco Museum Megamix,Wii,2010.0,Misc,0.17,0.0,0.0,0.01,53.0,tbd,E
7879,Chaotic: Shadow Warriors,Wii,2009.0,Action,0.18,0.0,0.0,0.01,,tbd,E10+
7880,The Legend of Spyro: A New Beginning,GC,2006.0,Platform,0.15,0.04,0.0,0.01,67.0,7.3,E10+
7881,International Soccer,2600,1981.0,Sports,0.18,0.01,0.0,0.0,,,
7882,Princess Maker: Yumemiru Yosei,PS,1997.0,Strategy,0.0,0.0,0.18,0.01,,,
7883,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015.0,Action,0.0,0.0,0.19,0.0,,,
7884,Armored Core: For Answer,PS3,2008.0,Simulation,0.06,0.02,0.1,0.01,62.0,7.6,T
7885,Big Air,PS,1999.0,Sports,0.1,0.07,0.0,0.01,,,
7886,Shining Force II,GEN,1993.0,Strategy,0.0,0.0,0.19,0.0,,,
7887,Taiko no Tatsujin: Wii U Version!,WiiU,2013.0,Misc,0.0,0.0,0.19,0.0,,,
7888,Gallop Racer,PS,1999.0,Sports,0.0,0.0,0.18,0.01,,,
7889,The Walking Dead: Season Two,PS3,2014.0,Adventure,0.09,0.06,0.0,0.03,,,
7890,Harry Potter and the Prisoner of Azkaban,XB,2004.0,Action,0.14,0.04,0.0,0.01,67.0,8.8,E
7891,3rd Super Robot Wars Z Jigoku Hen,PSV,2014.0,Role-Playing,0.0,0.0,0.19,0.0,,,
7892,Where's Waldo? The Fantastic Journey,Wii,2009.0,Adventure,0.17,0.0,0.0,0.01,,tbd,E
7893,Sudoku Gridmaster (JP sales),DS,2006.0,Puzzle,0.0,0.0,0.19,0.0,,,
7894,Monsters vs. Aliens,PS2,2009.0,Action,0.11,0.0,0.0,0.08,64.0,tbd,E10+
7895,College Slam,PS,1995.0,Sports,0.1,0.07,0.0,0.01,,,
7896,Street Fighter X Tekken,PSV,2012.0,Fighting,0.1,0.04,0.01,0.03,79.0,7.5,T
7897,Nobunaga no Yabou: Souzou,PS3,2013.0,Strategy,0.0,0.0,0.19,0.0,,,
7898,The Legend of Heroes: Trails of Cold Steel II,PSV,2014.0,Role-Playing,0.02,0.02,0.13,0.01,80.0,7.3,T
7899,Pro Yaky? Spirits 4,PS2,2007.0,Sports,0.0,0.0,0.19,0.0,,,
7900,Rock Band Track Pack Volume 2,X360,2008.0,Misc,0.17,0.01,0.0,0.01,,tbd,T
7901,Need for Speed: Shift 2 Unleashed,PC,2011.0,Racing,0.05,0.11,0.0,0.03,,,
7902,Tamagotchi Party On!,Wii,2006.0,Misc,0.12,0.0,0.06,0.01,,,
7903,Daigasso! Band Brothers,DS,2004.0,Misc,0.0,0.0,0.19,0.0,,,
7904,Rise of the Kasai,PS2,2005.0,Action,0.09,0.07,0.0,0.02,68.0,8,M
7905,Thoroughbred Breeder,SNES,1993.0,Simulation,0.0,0.0,0.19,0.0,,,
7906,Momotarou Dentetsu World,DS,2010.0,Misc,0.0,0.0,0.19,0.0,,,
7907,Singstar: Ultimate Party,PS4,2014.0,Misc,0.0,0.16,0.0,0.03,47.0,4.1,
7908,Beyblade: Metal Fusion - Battle Fortress,Wii,2009.0,Action,0.15,0.0,0.03,0.01,,,
7909,Risen,X360,2009.0,Role-Playing,0.07,0.11,0.0,0.01,60.0,6.4,M
7910,Nostalgia,DS,2008.0,Role-Playing,0.16,0.0,0.02,0.01,72.0,7.6,E10+
7911,Dynasty Warriors Gundam,X360,2007.0,Action,0.15,0.01,0.02,0.01,55.0,6.8,T
7912,Chibi-Robo! Park Patrol,DS,2007.0,Adventure,0.0,0.0,0.19,0.0,78.0,7.5,E
7913,Jurassic: The Hunted,PS3,2009.0,Shooter,0.17,0.0,0.0,0.02,,4.5,T
7914,Farmtopia,DS,2010.0,Simulation,0.18,0.0,0.0,0.01,,tbd,E
7915,DanceDanceRevolution,PS3,2010.0,Simulation,0.12,0.05,0.0,0.02,60.0,tbd,E10+
7916,Tom Clancy's Splinter Cell: Blacklist,PC,2013.0,Action,0.04,0.13,0.0,0.01,82.0,7.4,M
7917,"Ni Hao, Kai-lan: Super Game Day",Wii,2009.0,Misc,0.17,0.0,0.0,0.01,,8.5,E
7918,One Piece: Unlimited Adventure,Wii,2007.0,Adventure,0.07,0.0,0.11,0.01,67.0,8.5,T
7919,Shaun White Skateboarding,PS3,2010.0,Sports,0.11,0.05,0.0,0.03,61.0,6.5,T
7920,Crash & Spyro Superpack,GBA,2005.0,Platform,0.13,0.05,0.0,0.0,,,
7921,Reel Fishing Paradise 3D,3DS,2011.0,Sports,0.12,0.0,0.06,0.01,57.0,tbd,E
7922,Conflict: Denied Ops,PS3,2008.0,Shooter,0.05,0.1,0.0,0.03,51.0,3.1,M
7923,Binary Domain,X360,2012.0,Action,0.09,0.06,0.02,0.02,74.0,8,M
7924,Kuma-Tomo,3DS,2013.0,Misc,0.0,0.0,0.19,0.0,,,
7925,IL-2 Sturmovik: Birds of Prey,PSP,2009.0,Simulation,0.08,0.07,0.0,0.04,,3,T
7926,ThunderStrike 2,PS,1994.0,Simulation,0.1,0.07,0.0,0.01,,,
7927,Magical ZhuZhu Princess: Carriages & Castles,DS,2011.0,Simulation,0.13,0.04,0.0,0.01,,,
7928,Pro Yaky? Spirits 2012,PS3,2012.0,Sports,0.0,0.0,0.19,0.0,,,
7929,Super Real Mahjong P V,SAT,1995.0,Misc,0.0,0.0,0.19,0.0,,,
7930,Thomas the Tank Engine & Friends,GBA,2004.0,Adventure,0.13,0.05,0.0,0.0,,,
7931,Penguin no Mondai X: Tenkuu no 7 Senshi,DS,2009.0,Action,0.0,0.0,0.19,0.0,,,
7932,The Scorpion King: Sword of Osiris,GBA,2002.0,Action,0.13,0.05,0.0,0.0,72.0,tbd,E
7933,Jeep Thrills,Wii,2008.0,Racing,0.17,0.0,0.0,0.01,,5.7,E
7934,Ice Age: Dawn of the Dinosaurs,PS3,2009.0,Action,0.13,0.03,0.0,0.02,67.0,7.3,E10+
7935,Bubsy 3D,PS,1996.0,Platform,0.1,0.07,0.0,0.01,,,
7936,NCAA Final Four 2001,PS2,2000.0,Sports,0.09,0.07,0.0,0.02,49.0,tbd,E
7937,Robin Hood: Defender of the Crown,PS2,2003.0,Strategy,0.09,0.07,0.0,0.02,59.0,5.6,T
7938,Face Training,DS,2007.0,Misc,0.0,0.0,0.19,0.0,,,
7939,Barbie Horse Adventures: Riding Camp,Wii,2008.0,Sports,0.17,0.0,0.0,0.01,,tbd,E
7940,SD Gundam GX,SNES,1994.0,Strategy,0.0,0.0,0.19,0.0,,,
7941,R-Type Final,PS2,2003.0,Shooter,0.09,0.07,0.0,0.02,79.0,9.1,E
7942,Jackie Chan Adventures: Legend of the Dark Hand,GBA,2001.0,Action,0.13,0.05,0.0,0.0,,,
7943,Bolt,PS3,2008.0,Adventure,0.12,0.04,0.0,0.02,59.0,6.8,E10+
7944,Mathews Bowhunting,Wii,2010.0,Sports,0.18,0.0,0.0,0.01,,tbd,T
7945,Phantasy Star Nova,PSV,2014.0,Role-Playing,0.0,0.0,0.19,0.0,,,
7946,Pro Evolution Soccer 2014,3DS,2013.0,Action,0.0,0.0,0.19,0.0,,,E
7947,Sega GT 2002,XB,2002.0,Racing,0.12,0.03,0.03,0.01,82.0,8.2,E
7948,F1 2011,PC,2011.0,Racing,0.0,0.15,0.0,0.04,83.0,7.2,E
7949,Air Conflicts: Secret Wars,PS3,2011.0,Simulation,0.1,0.06,0.0,0.03,51.0,tbd,T
7950,Ty the Tasmanian Tiger 3: Night of the Quinkan,PS2,2005.0,Action,0.09,0.07,0.0,0.02,68.0,8.1,E10+
7951,Family Feud: 2012 Edition,Wii,2011.0,Misc,0.17,0.0,0.0,0.01,,tbd,E10+
7952,Samurai Warriors 2: Empires,PS2,2006.0,Action,0.0,0.0,0.19,0.0,55.0,7.3,T
7953,Blood Omen 2,XB,2002.0,Action,0.14,0.04,0.0,0.01,76.0,9,M
7954,Earth Defense Force: Insect Armageddon,X360,2011.0,Shooter,0.1,0.04,0.03,0.01,68.0,8.2,T
7955,Major League Baseball 2K10,PS3,2010.0,Sports,0.17,0.0,0.0,0.01,74.0,5.3,E
7956,Saints Row IV,PC,2013.0,Action,0.11,0.06,0.0,0.02,86.0,7.4,M
7957,J-League Pro Soccer Club o Tsukurou! 5,PS2,2007.0,Sports,0.0,0.0,0.19,0.0,,,
7958,Harry Potter: Quidditch World Cup,XB,2003.0,Sports,0.14,0.04,0.0,0.01,69.0,7.5,E
7959,Dance Central: Spotlight,XOne,2014.0,Misc,0.15,0.03,0.0,0.0,74.0,7,T
7960,Little Battlers eXperience W,PSP,2012.0,Role-Playing,0.0,0.0,0.19,0.0,,,
7961,Warriors: Legends of Troy,PS3,2011.0,Action,0.06,0.04,0.07,0.02,44.0,7,M
7962,La Pucelle: Tactics,PS2,2002.0,Role-Playing,0.09,0.07,0.0,0.02,79.0,8.5,T
7963,Arcania: Gothic 4,PC,2010.0,Role-Playing,0.09,0.08,0.0,0.02,63.0,4.4,T
7964,NBA Ballers: Chosen One,X360,2008.0,Sports,0.17,0.0,0.0,0.01,55.0,4.2,E
7965,Tiger Woods PGA Tour 07,XB,2006.0,Sports,0.13,0.05,0.0,0.01,81.0,6.8,E
7966,Disney's Meet the Robinsons,Wii,2007.0,Action,0.17,0.0,0.0,0.01,62.0,6.3,E10+
7967,Sword Art Online: Hollow Realization,PS4,2016.0,Role-Playing,0.06,0.02,0.1,0.02,69.0,7.7,T
7968,Star Wars: The Clone Wars & Tetris Worlds,XB,2002.0,Misc,0.14,0.04,0.0,0.01,,,
7969,The Lord of the Rings: War in the North,PC,2011.0,Action,0.05,0.11,0.0,0.03,66.0,7.1,M
7970,The Bee Game,DS,2007.0,Adventure,0.17,0.0,0.0,0.01,,tbd,E
7971,SBK X: Superbike World Championship,X360,2010.0,Racing,0.1,0.07,0.0,0.02,74.0,8.3,E10+
7972,Rango: The Video Game,PS3,2011.0,Action,0.07,0.09,0.0,0.03,65.0,6.4,E10+
7973,EverQuest Online Adventures: Frontiers,PS2,2003.0,Role-Playing,0.09,0.07,0.0,0.02,77.0,8.5,T
7974,Godzilla (2015),PS4,2014.0,Action,0.11,0.03,0.02,0.03,,,
7975,Fairy Fencer F,PS3,2013.0,Role-Playing,0.05,0.03,0.09,0.02,65.0,7.4,T
7976,Shadows of the Damned,X360,2011.0,Action,0.1,0.06,0.01,0.02,76.0,8.4,M
7977,Treasures of the Deep,PS,1997.0,Action,0.1,0.07,0.0,0.01,,,
7978,Phantasy Star Online Ver. 2,DC,2001.0,Role-Playing,0.0,0.0,0.19,0.0,80.0,8.9,T
7979,Cabela's Survival: Shadows of Katmai,PS3,2011.0,Sports,0.11,0.05,0.0,0.02,,7.4,T
7980,Hot Wheels: Battle Force 5,Wii,2009.0,Racing,0.17,0.0,0.0,0.01,,tbd,E10+
7981,Go Play: Lumberjacks,Wii,2009.0,Simulation,0.17,0.0,0.0,0.01,,tbd,E
7982,Fight Club,PS2,2004.0,Fighting,0.09,0.07,0.0,0.02,36.0,4.4,M
7983,Samurai Warriors: State of War,PSP,2005.0,Action,0.07,0.0,0.11,0.01,64.0,6.4,T
7984,Cabela's Survival: Shadows of Katmai,X360,2011.0,Sports,0.14,0.03,0.0,0.01,,3.5,T
7985,Dragon Blade: Wrath of Fire,Wii,2007.0,Action,0.17,0.0,0.0,0.01,51.0,7.5,T
7986,Guilty Gear Xrd: Sign,PS3,2014.0,Fighting,0.1,0.0,0.07,0.02,,,
7987,Dance Dance Revolution: Disney Grooves,Wii,2009.0,Simulation,0.17,0.0,0.0,0.01,,tbd,E
7988,Camping Mama: Outdoor Adventures,DS,2011.0,Simulation,0.12,0.05,0.0,0.02,51.0,tbd,E
7989,Harvest Moon: A Wonderful Life Special Edition,PS2,2004.0,Simulation,0.09,0.07,0.0,0.02,,8.9,E
7990,Sports Illustrated for Kids: Football,GBA,2003.0,Sports,0.13,0.05,0.0,0.0,,,
7991,The Munchables,Wii,2009.0,Action,0.17,0.0,0.0,0.01,71.0,8.2,E
7992,How to Train Your Dragon 2,Wii,2014.0,Adventure,0.04,0.13,0.0,0.01,,tbd,E10+
7993,.hack//Quarantine Part 4: The Final Chapter,PS2,2003.0,Role-Playing,0.09,0.07,0.0,0.02,,,
7994,The Smurfs 2,DS,2013.0,Platform,0.0,0.17,0.0,0.01,,tbd,E
7995,Close Combat: First to Fight,XB,2005.0,Shooter,0.14,0.04,0.0,0.01,69.0,7.8,T
